Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Rīgas Tehniskās universitātes aģentūra ""Rīgas Tehniskās universitātes Liepājas Jūrniecības koledža""";"Augstākās izglītības iestāde";"Koledža";"Rīgas Tehniskā universitāte";"Nē";"Jā";"3097002320";"Izglītības un zinātnes ministrija";"LIEPĀJA"
"Rīgas Būvniecības koledža";"Augstākās izglītības iestāde";"Koledža";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3397001284";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Latvijas Kultūras akadēmijas aģentūra ""Latvijas Kultūras akadēmijas Latvijas Kultūras koledža""";"Augstākās izglītības iestāde";"Koledža";"Latvijas Kultūras akadēmija";"Nē";"Jā";"3397302312";"Kultūras ministrija";"RĪGA"
"Juridiskā koledža";"Augstākās izglītības iestāde";"Koledža";"SIA ""Juridiskā koledža""";"Nē";"Jā";"3397801243";"Juridiska vai fiziska persona";"RĪGA"
"Juridiskās koledžas Ventspils filiāle";"Augstākās izglītības iestāde";"Koledžas filiāle";"SIA ""Juridiskā koledža""";"Nē";"Jā";"3298802290";"Juridiska vai fiziska persona";"VENTSPILS"
"Ugunsdrošības un civilās aizsardzības koledža";"Augstākās izglītības iestāde";"Koledža";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3397501387";"Iekšlietu ministrija";"-Nav norādīts-"
"Sabiedrība ar ierobežotu atbildību ""Grāmatvedības un finanšu koledža""";"Augstākās izglītības iestāde";"Koledža";"Sabiedrība ar ierobežotu atbildību Komercinformācijas firma ""Biznesa Komplekss""";"Nē";"Jā";"3397801774";"Juridiska vai fiziska persona";"RĪGA"
"Sabiedrība ar ierobežotu atbildību ""Biznesa vadības koledža""";"Augstākās izglītības iestāde";"Koledža";"Jānis Stabiņš";"Nē";"Jā";"3397802338";"Juridiska vai fiziska persona";"RĪGA"
"Grāmatvedības un finanšu koledžas Valmieras filiāle";"Augstākās izglītības iestāde";"Koledžas filiāle";"Sabiedrība ar ierobežotu atbildību ""Grāmatvedības un finanšu koledža""";"Nē";"Jā";"2598802350";"Juridiska vai fiziska persona";"VALMIERA"
"Valsts robežsardzes koledža";"Augstākās izglītības iestāde";"Koledža";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3197401385";"Iekšlietu ministrija";"-Nav norādīts-"
"Latvijas Universitātes Rīgas Medicīnas koledža";"Augstākās izglītības iestāde";"Koledža";"Latvijas Universitāte";"Nē";"Jā";"3397002471";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Latvijas Universitātes P.Stradiņa medicīnas koledža";"Augstākās izglītības iestāde";"Koledža";"Latvijas Universitāte";"Nē";"Jā";"2997002472";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Grāmatvedības un finanšu koledžas Latgales filiāle";"Augstākās izglītības iestāde";"Koledžas filiāle";"Sabiedrība ar ierobežotu atbildību ""Grāmatvedības un finanšu koledža""";"Nē";"Jā";"2798802452";"Juridiska vai fiziska persona";"DAUGAVPILS"
"Sabiedrība ar ierobežotu atbildību ""ALBERTA KOLEDŽA""";"Augstākās izglītības iestāde";"Koledža";"Anna Saltikova, Deniss Saltikovs";"Nē";"Jā";"3397801552";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Rīgas Stradiņa universitātes Sarkanā Krusta medicīnas koledža";"Augstākās izglītības iestāde";"Koledža";"Rīgas Stradiņa universitāte";"Nē";"Jā";"3397702502";"Veselības ministrija";"-Nav norādīts-"
"Daugavpils Universitātes aģentūra ""Daugavpils Universitātes Daugavpils medicīnas koledža""";"Augstākās izglītības iestāde";"Koledža";"Daugavpils Universitāte";"Nē";"Jā";"2797002489";"Izglītības un zinātnes ministrija";"DAUGAVPILS"
"Juridiskās koledžas Liepājas filiāle";"Augstākās izglītības iestāde";"Koledžas filiāle";"SIA ""Juridiskā koledža""";"Nē";"Jā";"3098802289";"Juridiska vai fiziska persona";"LIEPĀJA"
"Latvijas Biozinātņu un tehnoloģiju universitātes aģentūra ""Latvijas Biozinātņu un tehnoloģiju universitātes Malnavas koledža""";"Augstākās izglītības iestāde";"Koledža";"Latvijas Biozinātņu un tehnoloģiju universitāte";"Nē";"Jā";"4297102587";"Zemkopības ministrija";"-Nav norādīts-"
