Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Smiltenes Bērnu un jauniešu izglītības centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Smiltenes novada pašvaldība";"Nē";"Nē";"4451900809";"Pašvaldība ";"-Nav norādīts-"
"Siguldas novada Jaunrades centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Siguldas novada pašvaldība";"Nē";"Nē";"4351902113";"Pašvaldība ";"-Nav norādīts-"
"Bērnu un jauniešu centrs ""Laimīte""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3351902460";"Pašvaldība ";"-Nav norādīts-"
"Rēzeknes pilsētas skolēnu interešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Rēzeknes valstspilsētas pašvaldība";"Nē";"Nē";"3151900072";"Pašvaldība ";"RĒZEKNE"
"Mākslinieciskās jaunrades centrs ""Praktiskās estētikas skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3351902466";"Pašvaldība ";"RĪGA"
"Preiļu novada Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Preiļu novada pašvaldība";"Nē";"Nē";"4251900393";"Pašvaldība ";"-Nav norādīts-"
"Aizkraukles novada Interešu izglītības centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Aizkraukles novada pašvaldība";"Nē";"Nē";"4551902023";"Pašvaldība ";"-Nav norādīts-"
"Liepājas Bērnu un jaunatnes centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Liepājas Centrālā administrācija";"Nē";"Nē";"3051902786";"Pašvaldība ";"LIEPĀJA"
"Daugavpils pilsētas Bērnu un jauniešu centrs ""Jaunība""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Daugavpils valstspilsētas pašvaldība";"Nē";"Nē";"2751901720";"Pašvaldība ";"-Nav norādīts-"
"Talsu novada Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Talsu novada pašvaldība";"Nē";"Nē";"4151900625";"Pašvaldība ";"-Nav norādīts-"
"Bērnu un jauniešu centrs ""IK Auseklis""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3351901696";"Pašvaldība ";"RĪGA"
"Līvānu Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Līvānu novada pašvaldība";"Nē";"Nē";"4251900391";"Pašvaldība ";"-Nav norādīts-"
"Rīgas mūzikas un kora skola";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""RĪGAS MŪZIKAS UN KORA SKOLA""";"Nē";"Nē";"3451800762";"Juridiska vai fiziska persona";"RĪGA"
"Bērnu un jauniešu interešu izglītības iestāde ""Eksperiments""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""PEDAGOĢISKAIS CENTRS ""EKSPERIMENTS""""";"Nē";"Nē";"3351801561";"Juridiska vai fiziska persona";"RĪGA"
"Bērnu un jauniešu centrs ""Attīstība""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"""Bērnu fonds-ATTĪSTĪBA""";"Nē";"Nē";"4351802490";"Juridiska vai fiziska persona";"SIGULDA"
"Ilūkstes Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Augšdaugavas novada pašvaldības Centrālā pārvalde";"Nē";"Nē";"4251902427";"Pašvaldība ";"-Nav norādīts-"
"SIA ""Rihtera deju skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Ligita Rihtere";"Nē";"Nē";"3351801877";"Juridiska vai fiziska persona";"RĪGA"
"Bērnu un jaunatnes radošo spēju attīstības centrs ""Namiņš""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Mūsu namiņš""";"Nē";"Nē";"3351801953";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Mūzikas studija ""Evilēna""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""EVILĒNA""";"Nē";"Nē";"3351801939";"Juridiska vai fiziska persona";"RĪGA"
"Sabiedrības ar ierobežotu atbildību ""UNIK-AL"" Interešu izglītības iestāde ""UNIK-AL 2""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""UNIK-AL""";"Nē";"Nē";"3351802513";"Juridiska vai fiziska persona";"RĪGA"
"Posternakas sporta deju skola";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""SPORTA DEJU KLUBS ""DAUGAVPILS""""";"Nē";"Nē";"2751802517";"Juridiska vai fiziska persona";"DAUGAVPILS"
"Kristīgās bērnu un jauniešu interešu izglītības iestāde - centrs ""Matejs""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Nodibinājums ""KRISTĪGI IZGLĪTOJOŠS BĒRNU UN JAUNIEŠU CENTRS ""MATEJS""""";"Nē";"Nē";"3351802509";"Juridiska vai fiziska persona";"RĪGA"
"Z.Griņevskas I.U. ""Repetitors-90"" bērnu interešu izglītības centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Rīgas pilsētas Z.Griņevskas izglītības individuālais uzņēmums ""REPETITORS-90""";"Nē";"Nē";"3351802524";"Juridiska vai fiziska persona";"RĪGA"
"Grobiņas skolēnu interešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Dienvidkurzemes novada pašvaldība";"Nē";"Nē";"4151902614";"Pašvaldība ";"GROBIŅAS NOVADS"
"Ludzas novada Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Ludzas novada pašvaldība";"Nē";"Nē";"4251900479";"Pašvaldība ";"LUDZA"
"Mākslas skola ""Mākslas aptieka""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Kultūras un izglītības fonds ""UPE""";"Nē";"Nē";"4451801419";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Alūksnes Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Alūksnes novada pašvaldība";"Nē";"Nē";"4451902238";"Pašvaldība ";"-Nav norādīts-"
"Biedrība ""Pirmā bērnu labdarības makšķerēšanas skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""HUBERTUS""";"Nē";"Nē";"3351802435";"Juridiska vai fiziska persona";"RĪGA"
"Bērnu un jauniešu interešu izglītības, rotaļu un attīstības centrs ""Čiepa""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""VIDUS K.E.J.""";"Nē";"Nē";"2951802493";"Juridiska vai fiziska persona";"JŪRMALA"
"Jūrmalas Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Jūrmalas valstspilsētas administrācija";"Nē";"Nē";"2951902799";"Pašvaldība ";"-Nav norādīts-"
"Tehniskās jaunrades nams ""Annas 2""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3351902495";"Pašvaldība ";"-Nav norādīts-"
"Aizputes Skolēnu jaunrades centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Dienvidkurzemes novada pašvaldība";"Nē";"Nē";"4151902031";"Pašvaldība ";"-Nav norādīts-"
"Valkas novada Bērnu un jauniešu centrs ""Mice""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Valkas novada pašvaldība";"Nē";"Nē";"4451901721";"Pašvaldība ";"-Nav norādīts-"
"Valmieras Jaunatnes centrs ""Vinda""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Valmieras novada pašvaldība";"Nē";"Nē";"2551902465";"Pašvaldība ";"-Nav norādīts-"
"Limbažu Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Limbažu novada pašvaldība";"Nē";"Nē";"4451901691";"Pašvaldība ";"-Nav norādīts-"
"Bauskas Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Bauskas novada pašvaldība";"Nē";"Nē";"4551902433";"Pašvaldība ";"BAUSKA"
"Bērnu attīstības centrs ""Rūķu skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Rūķu skola""";"Nē";"Nē";"3351802553";"Juridiska vai fiziska persona";"RĪGA"
"Stila, modes, skaistuma izkopšanas studija ""TERRI""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""TERRI""";"Nē";"Nē";"3351802735";"Juridiska vai fiziska persona";"RĪGA"
