Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Neformālās izglītības un valodu centrs ""MIRTE""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""MIRTE""";"Nē";"Nē";"3380800101";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Alises Rozes mācību centrs";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""VMVK""";"Nē";"Nē";"4480800634";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Izglītības, kultūras un sporta centrs ""Līdumi""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Jelgavas novada pašvaldība";"Nē";"Nē";"4580900418";"Pašvaldība ";"JELGAVAS NOVADS"
"Mācību centrs Fxcompany";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""LATBUVTRADE""";"Nē";"Nē";"3380800498";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Mācību un sabiedrisko aktivitāšu centrs";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Biedrība ""Sabiedrisko aktivitāšu atbalsta centrs""";"Nē";"Nē";"3180800902";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Sabiedrība ar ierobežotu atbildību ""Studio ABC""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sandra Ģeida";"Nē";"Nē";"4480801009";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Baltic Media Valodu mācību centrs";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""BALTIC MEDIA LTD""";"Nē";"Nē";"3380801011";"Juridiska vai fiziska persona";"-Nav norādīts-"
"SIA ""AUTOPROFS""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Žanis Leikums";"Nē";"Nē";"1080801023";"Juridiska vai fiziska persona";"JĒKABPILS"
"Biedrība Klubs ""VĒRIENS""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Rūta Briede";"Nē";"Nē";"1780801024";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Izglītības centrs ""LaTuana""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""LaTuana""";"Nē";"Nē";"1780801016";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Mācību centrs ""Sapņu darbnīca""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""EVIJA SERVISS""";"Nē";"Nē";"3380801013";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Mācību un konsultāciju centrs ""Līderis tevī""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""MODUS VIVENDI A""";"Nē";"Nē";"1780800867";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Mācību centrs ""Viktorija""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""Konsultāciju centrs ""Viktorija""""";"Nē";"Nē";"2780801014";"Juridiska vai fiziska persona";"DAUGAVPILS"
"Numerologu skola";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""Latvijas Numerologu biedrība""";"Nē";"Nē";"3380800904";"Juridiska vai fiziska persona";"RĪGA"
"Biedrība Nacionālais sabiedrības veselības institūts";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Velta Pozņaka";"Nē";"Nē";"3380801022";"Juridiska vai fiziska persona";"RĪGA"
"SIA ""Larēna"" pieaugušo neformālās izglītības Aromterapijas mācību un konsultāciju centrs";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""LARĒNA""";"Nē";"Nē";"4480801035";"Juridiska vai fiziska persona";"SAULKRASTU NOVADS"
"Pieaugušo neformālās svešvalodu izglītības iestāde ""ASIMILĀCIJA""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Erdmanes-Hermanes individuālais uzņēmums ""ASIMILĀCIJA""";"Nē";"Nē";"3380801034";"Juridiska vai fiziska persona";"RĪGA"
"Pieaugušo neformālās izglītības iestāde ""IKCAVA""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""LENOKS . IKCAVA"" biedrība";"Nē";"Nē";"2780801043";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Aizkraukles reģionālā Tautskola"" ";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""Aizkraukles reģionālā Tautskola""";"Nē";"Nē";"4580801039";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Biedrība Latvijas Pirmsskolas mūzikas izglītības asociācija";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Anna Līduma, Vineta Vītola, Aija Ozola";"Nē";"Nē";"3380801006";"Juridiska vai fiziska persona";"RĪGA"
"Neformālās izglītības iestāde ""PRADNA""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""REKIR""";"Nē";"Nē";"3380801075";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo izglītības iestāde ""Junior Achievement-Young Enterprise Latvija""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""Junior Achievement Latvia""";"Nē";"Nē";"3380801078";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""Garīgās kultūras studijas""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""ASTROLOGI.LV""";"Nē";"Nē";"4380800909";"Juridiska vai fiziska persona";"OLAINES NOVADS"
"Neformālās izglītības iestāde ""Sistēmiskās izglītības institūts""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Humulus""";"Nē";"Nē";"3380801084";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""BB school""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""BB school""";"Nē";"Nē";"3380801085";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Biznesa attīstības un karjeras veicināšanas izglītības centrs";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Biznesa attīstības un karjeras veicināšanas centrs IK";"Nē";"Nē";"3380801010";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Mana skola""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""Sofija""";"Nē";"Nē";"4280801092";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""JANAUTO""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""JANAUTO""";"Nē";"Nē";"4480801029";"Juridiska vai fiziska persona";"CĒSIS"
