Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Cīravas pirmsskolas izglītības iestāde ""Pīlādzītis""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Dienvidkurzemes novada pašvaldība";"Nē";"Nē";"4101901754";"Pašvaldība ";"AIZPUTES NOVADS"
"Rīgas 79. pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3701901861";"Pašvaldība ";"-Nav norādīts-"
"Rīgas pirmsskolas izglītības iestāde ""Domino""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3601901975";"Pašvaldība ";"RĪGA"
"Kaunatas pirmsskolas izglītības iestāde ""Zvaniņš""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rēzeknes novada pašvaldība";"Nē";"Nē";"4201901648";"Pašvaldība ";"-Nav norādīts-"
"Rīgas Pārdaugavas pirmsskola";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3801901890";"Pašvaldība ";"RĪGA"
"Rīgas 149. pirmsskolas izglītības iestāde ""Saulīte""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3801901688";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 182. pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3701901695";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 170. pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3601901947";"Pašvaldība ";"-Nav norādīts-"
"Rīgas pirmsskolas izglītības iestāde ""Pasaciņa""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3501901886";"Pašvaldība ";"RĪGA"
"Pirmsskolas izglītības iestāde ""Ezerciems""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Siguldas novada pašvaldība";"Nē";"Nē";"4301902037";"Pašvaldība ";"-Nav norādīts-"
