Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Balvu Mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Balvu novada pašvaldība";"Nē";"Jā";"4275902358";"Pašvaldība ";"-Nav norādīts-"
"Vecumnieku Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Bauskas novada pašvaldība";"Nē";"Jā";"4574902281";"Pašvaldība ";"-Nav norādīts-"
"Jaunpiebalgas Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Cēsu novada pašvaldība";"Nē";"Jā";"4474902286";"Pašvaldība ";"-Nav norādīts-"
"Līgatnes Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Cēsu novada pašvaldība";"Nē";"Jā";"4474902142";"Pašvaldība ";"-Nav norādīts-"
"Ādažu Bērnu un jaunatnes sporta skola";"Profesionālās ievirzes izglītības iestāde";"Sporta skola";"Ādažu novada pašvaldība";"Nē";"Jā";"4371902180";"Pašvaldība ";"ĀDAŽU NOVADS"
"Valdemārpils Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Talsu novada pašvaldība";"Nē";"Jā";"4174902331";"Pašvaldība ";"-Nav norādīts-"
"J.Cimzes Valkas Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Valkas novada pašvaldība";"Nē";"Jā";"4476902225";"Pašvaldība ";"VALKA"
"P.Barisona Aizkraukles Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Aizkraukles novada pašvaldība";"Nē";"Jā";"4576902258";"Pašvaldība ";"-Nav norādīts-"
"Špoģu Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Augšdaugavas novada pašvaldības Centrālā pārvalde";"Nē";"Jā";"4274902260";"Pašvaldība ";"-Nav norādīts-"
"Naujenes Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Augšdaugavas novada pašvaldības Centrālā pārvalde";"Nē";"Jā";"4274902226";"Pašvaldība ";"-Nav norādīts-"
"Dobeles Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Dobeles novada pašvaldība";"Nē";"Jā";"4576902340";"Pašvaldība ";"-Nav norādīts-"
"Gulbenes Mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Gulbenes novada pašvaldība";"Nē";"Jā";"4475902088";"Pašvaldība ";"-Nav norādīts-"
"Jelgavas novada Mūzikas un mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas un mākslas skola";"Jelgavas novada pašvaldība";"Nē";"Jā";"4574902473";"Pašvaldība ";"-Nav norādīts-"
"Liepājas Karostas mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Liepājas Centrālā administrācija";"Nē";"Jā";"3076902276";"Pašvaldība ";"-Nav norādīts-"
"Aizputes Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Dienvidkurzemes novada pašvaldība";"Nē";"Jā";"4176902157";"Pašvaldība ";"-Nav norādīts-"
"Vaiņodes Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Dienvidkurzemes novada pašvaldība";"Nē";"Jā";"4176902359";"Pašvaldība ";"-Nav norādīts-"
"Pētera Rozenberga Cēsu pilsētas Mākslas skola";"Profesionālās ievirzes izglītības iestāde";"Mākslas skola";"Cēsu novada pašvaldība";"Nē";"Jā";"4475902319";"Pašvaldība ";"-Nav norādīts-"
"Arvīda Žilinska Jēkabpils Mūzikas skola";"Profesionālās ievirzes izglītības iestāde";"Mūzikas skola";"Jēkabpils novada pašvaldība";"Nē";"Jā";"1076902248";"Pašvaldība ";"JĒKABPILS"
