Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Sabiedrība ar ierobežotu atbildību ""Profesionālās izglītības, tālākizglītības un eksaminācijas centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Ģirts Veigners";"Nē";"Jā";"2960800010";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Mācību centrs ""BUB MC""""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Latvijas Brīvprātīgo ugunsdzēsēju biedrību apvienība";"Nē";"Nē";"3361802362";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Mācību centrs plus""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Mācību centrs plus""";"Nē";"Jā";"2761802368";"Juridiska vai fiziska persona";"-Nav norādīts-"
"""Latvijas Pašvaldību mācību centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Bauskas novada pašvaldība";"Nē";"Jā";"3361802377";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""Digitālo prasmju centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA Steam Education";"Nē";"Jā";"3361802380";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""FIBRA""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""FIBRA""";"Nē";"Jā";"3161802394";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Mācību centrs ""BUTS""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""BUTS""";"Nē";"Jā";"3361802396";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Latvijas Tālmācības profesionālais centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Latvijas Tālmācības un profesionālās tālākizglītības centrs""";"Nē";"Jā";"4461802401";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Sabiedrība ar ierobežotu atbildību ""MBR""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""MBR""";"Nē";"Jā";"3361802404";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Tukuma profesionālās tālākizglītības centrs";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""FUTURE DEVELOPMENT""";"Nē";"Jā";"4161802408";"Juridiska vai fiziska persona";"TUKUMS"
"SIA ""KOGRA"" profesionālās tālākizglītības centrs";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""KOGRA""";"Nē";"Nē";"3361802412";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""AMIPROF""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA AMIpro";"Nē";"Jā";"3361802414";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Latgales mācību centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Latgales mācību centrs""";"Nē";"Jā";"2761802421";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""ADA PLUS""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""ADA PLUS""";"Nē";"Jā";"2761802425";"Juridiska vai fiziska persona";"DAUGAVPILS"
"Latvijas Nacionālā bibliotēka";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3361302431";"Kultūras ministrija";"RĪGA"
"Profesionālās tālākizglītības centrs ""ADA PRO""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""FOZZI""";"Nē";"Nē";"2761802442";"Juridiska vai fiziska persona";"-Nav norādīts-"
