Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Pamūšas pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Bauskas novada pašvaldība";"Nē";"Jā";"4520901298";"Pašvaldība ";"BAUSKAS NOVADS"
"Gaismas pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Ropažu novada pašvaldība";"Nē";"Jā";"4322901127";"Pašvaldība ";"-Nav norādīts-"
"Jūrmalas pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Jūrmalas valstspilsētas administrācija";"Nē";"Jā";"2922901384";"Pašvaldība ";"JŪRMALA"
"Rozentovas pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Rēzeknes novada pašvaldība";"Nē";"Jā";"4220900956";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 2. pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3622900692";"Pašvaldība ";"RĪGA"
"Viduskurzemes pamatskola-attīstības centrs";"Speciālās izglītības iestāde";"Internātskola - attīstības centrs";"Kuldīgas novada pašvaldība";"Nē";"Jā";"4124901177";"Pašvaldība ";"-Nav norādīts-"
"Aleksandrovas pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Krāslavas novada pašvaldība";"Nē";"Jā";"4222900579";"Pašvaldība ";"-Nav norādīts-"
"Lielplatones pamatskola-atbalsta centrs";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Jelgavas novada pašvaldība";"Nē";"Jā";"4522900862";"Pašvaldība ";"-Nav norādīts-"
"Medumu Iespēju pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Augšdaugavas novada pašvaldības Centrālā pārvalde";"Nē";"Jā";"4222900868";"Pašvaldība ";"-Nav norādīts-"
"Rīgas Daugavas pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3620900693";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 4. pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3720900834";"Pašvaldība ";"RĪGA"
"Rīgas Strazdumuižas vidusskola-attīstības centrs";"Speciālās izglītības iestāde";"Speciālā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3725900835";"Pašvaldība ";"-Nav norādīts-"
"Limbažu novada speciālā pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Limbažu novada pašvaldība";"Nē";"Jā";"4422900181";"Pašvaldība ";"-Nav norādīts-"
"Dzelzavas Pakalnu pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Madonas novada pašvaldība";"Nē";"Jā";"4422900104";"Pašvaldība ";"-Nav norādīts-"
"Rudzātu speciālā pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Līvānu novada pašvaldība";"Nē";"Jā";"4220900355";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 3. pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3822900729";"Pašvaldība ";"RĪGA"
"Kokneses pamatskola - attīstības centrs";"Speciālās izglītības iestāde";"Internātskola - attīstības centrs";"Aizkraukles novada pašvaldība";"Nē";"Jā";"4524900991";"Pašvaldība ";"KOKNESES NOVADS"
"Bērzupes pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Dobeles novada pašvaldība";"Nē";"Jā";"4522900892";"Pašvaldība ";"-Nav norādīts-"
"Sveķu pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Gulbenes novada pašvaldība";"Nē";"Jā";"4422900923";"Pašvaldība ";"GULBENES NOVADS"
"Padures pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Dienvidkurzemes novada pašvaldība";"Nē";"Jā";"4122901035";"Pašvaldība ";"-Nav norādīts-"
"Valdemāra pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Ogres novada pašvaldība";"Nē";"Jā";"4422901056";"Pašvaldība ";"LIELVĀRDES NOVADS"
"Antūžu pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Jēkabpils novada pašvaldība";"Nē";"Jā";"4522901242";"Pašvaldība ";"-Nav norādīts-"
"Smiltenes novada speciālā pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Smiltenes novada pašvaldība";"Nē";"Jā";"4422900893";"Pašvaldība ";"-Nav norādīts-"
"Mežupes pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Dienvidkurzemes novada pašvaldība";"Nē";"Jā";"4122901034";"Pašvaldība ";"-Nav norādīts-"
"Zālītes pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Bauskas novada pašvaldība";"Nē";"Jā";"4522901299";"Pašvaldība ";"IECAVAS NOVADS"
"Upesgrīvas pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Talsu novada pašvaldība";"Nē";"Jā";"4122901278";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 5. pamatskola-attīstības centrs";"Speciālās izglītības iestāde";"Internātskola - attīstības centrs";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3724903100";"Pašvaldība ";"RĪGA"
"Rīgas 1. pamatskola-attīstības centrs";"Speciālās izglītības iestāde";"Internātskola - attīstības centrs";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3424903099";"Pašvaldība ";"RĪGA"
"Valmieras Gaujas krasta vidusskola - attīstības centrs";"Speciālās izglītības iestāde";"Internātskola - attīstības centrs";"Valmieras novada pašvaldība";"Nē";"Jā";"2524903208";"Pašvaldība ";"-Nav norādīts-"
"Tukuma novada pamatskola ""Spārni""";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Tukuma novada pašvaldība";"Nē";"Jā";"4122903223";"Pašvaldība ";"-Nav norādīts-"
"Daugavpils Stropu pamatskola - attīstības centrs";"Speciālās izglītības iestāde";"Internātskola - attīstības centrs";"Daugavpils valstspilsētas pašvaldība";"Nē";"Jā";"2724903240";"Pašvaldība ";"-Nav norādīts-"
"Liepājas Līvupes pamatskola - attīstības centrs";"Speciālās izglītības iestāde";"Internātskola - attīstības centrs";"Liepājas Centrālā administrācija";"Nē";"Jā";"3024903267";"Pašvaldība ";"-Nav norādīts-"
"Rēzeknes pamatskola-attīstības centrs";"Speciālās izglītības iestāde";"Internātskola - attīstības centrs";"Rēzeknes valstspilsētas pašvaldība";"Nē";"Jā";"3124903147";"Pašvaldība ";"-Nav norādīts-"
"Rīgas Ēbelmuižas pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3822903314";"Pašvaldība ";"RĪGA"
"Kalnsētas pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Saldus novada pašvaldība";"Nē";"Jā";"4122903247";"Pašvaldība ";"SALDUS"
"Aleksandra Bieziņa Raiskuma pamatskola";"Speciālās izglītības iestāde";"Speciālā pamatskola";"Cēsu novada pašvaldība";"Nē";"Jā";"4422903321";"Pašvaldība ";"PĀRGAUJAS NOVADS"
