Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Daugavpils Tehnoloģiju un tūrisma tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"2736003566";"Izglītības un zinātnes ministrija";"DAUGAVPILS"
"Jelgavas tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"2836003567";"Izglītības un zinātnes ministrija";"JELGAVA"
"Kuldīgas Tehnoloģiju un tūrisma tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"4136003569";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Rīgas Valsts tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3336003573";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Rēzeknes tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3136003574";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Rīgas Stila un modes tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3336003575";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Vidzemes Tehnoloģiju un dizaina tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"4436003580";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Izglītības un zinātnes ministrija";"Nē";"Jā";"3336003581";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Aizkraukles Profesionālā vidusskola";"Profesionālās pamata un vidējās izglītības iestāde";"Profesionālā vidusskola";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"4535003583";"Izglītības un zinātnes ministrija";"AIZKRAUKLE"
"Rīgas Tirdzniecības profesionālā vidusskola";"Profesionālās pamata un vidējās izglītības iestāde";"Profesionālā vidusskola";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3335003584";"Izglītības un zinātnes ministrija";"RĪGA"
"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";"Profesionālās pamata un vidējās izglītības iestāde";"Mākslu izglītības kompetences centrs";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3337303586";"Kultūras ministrija";"-Nav norādīts-"
"Mākslu izglītības kompetences centrs ""Liepājas Mūzikas, mākslas un dizaina vidusskola""";"Profesionālās pamata un vidējās izglītības iestāde";"Mākslu izglītības kompetences centrs";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3037303587";"Kultūras ministrija";"LIEPĀJA"
"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";"Profesionālās pamata un vidējās izglītības iestāde";"Mākslu izglītības kompetences centrs";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3237303588";"Kultūras ministrija";"-Nav norādīts-"
"Jāzepa Mediņa Rīgas Mūzikas vidusskola";"Profesionālās pamata un vidējās izglītības iestāde";"Profesionālā vidusskola";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3335303589";"Kultūras ministrija";"RĪGA"
"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";"Profesionālās pamata un vidējās izglītības iestāde";"Mākslu izglītības kompetences centrs";"Daugavpils valstspilsētas pašvaldība";"Nē";"Jā";"2737903595";"Pašvaldība ";"-Nav norādīts-"
"Sabiedrība ar ierobežotu atbildību Bulduru Tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Biozinātņu un tehnoloģiju universitāte";"Nē";"Jā";"2936803596";"Juridiska vai fiziska persona";"JŪRMALA"
"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";"Profesionālās pamata un vidējās izglītības iestāde";"Profesionālā vidusskola";"Jelgavas valstspilsētas pašvaldība";"Nē";"Jā";"2835903599";"Pašvaldība ";"-Nav norādīts-"
"Profesionālā vidusskola ""Victoria""";"Profesionālās pamata un vidējās izglītības iestāde";"Profesionālā vidusskola";"SIA ""Biznesa, mākslas un tehnoloģiju augstskola ""RISEBA""""";"Nē";"Jā";"3335803600";"Juridiska vai fiziska persona";"RĪGA"
"RTU Latvijas Jūras akadēmijas Jūrskola";"Profesionālās pamata un vidējās izglītības iestāde";"Profesionālā vidusskola";"Rīgas Tehniskā universitāte";"Nē";"Jā";"3335803603";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Rīgas Metālapstrādes profesionālā vidusskola";"Profesionālās pamata un vidējās izglītības iestāde";"Profesionālā vidusskola";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3335003641";"Izglītības un zinātnes ministrija";"RĪGA"
"Valmieras Dizaina un mākslas vidusskola";"Profesionālās pamata un vidējās izglītības iestāde";"Mākslu izglītības kompetences centrs";"Valmieras novada pašvaldība";"Nē";"Jā";"2537903643";"Pašvaldība ";"VALMIERA"
"Jēkabpils Tehnoloģiju tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"1036003651";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Latgales Industriālais tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"2736003570";"Izglītības un zinātnes ministrija";"DAUGAVPILS"
"Smiltenes tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"4436003577";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Rīgas Mākslas un mediju tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Mākslu izglītības kompetences centrs";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3337003582";"Izglītības un zinātnes ministrija";"RĪGA"
"Dobeles Amatniecības un vispārizglītojošā vidusskola";"Profesionālās pamata un vidējās izglītības iestāde";"Profesionālā vidusskola";"Dobeles novada pašvaldība";"Nē";"Jā";"4535903601";"Pašvaldība ";"DOBELE"
"Mākslu izglītības kompetences centrs ""Latgales Mūzikas un mākslas vidusskola""";"Profesionālās pamata un vidējās izglītības iestāde";"Mākslu izglītības kompetences centrs";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3137303629";"Kultūras ministrija";"-Nav norādīts-"
"Kandavas Lauksaimniecības tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"4136003568";"Izglītības un zinātnes ministrija";"KANDAVAS NOVADS"
"Ogres tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"4436003571";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Liepājas Valsts tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3036003572";"Izglītības un zinātnes ministrija";"LIEPĀJA"
"Alfrēda Kalniņa Cēsu mūzikas vidusskola";"Profesionālās pamata un vidējās izglītības iestāde";"Profesionālā vidusskola";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"4435303590";"Kultūras ministrija";"CĒSIS"
"Valmieras tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"2536003578";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Saldus tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"4136003576";"Izglītības un zinātnes ministrija";"SALDUS"
"Ventspils tehnikums";"Profesionālās pamata un vidējās izglītības iestāde";"Tehnikums";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3236003579";"Izglītības un zinātnes ministrija";"VENTSPILS"
