Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Bauskas pilsētas pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Bauskas novada pašvaldība";"Nē";"Jā";"4512901315";"Pašvaldība ";"-Nav norādīts-"
"Privātā pamatskola ""Gaismas tilts 97""";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Sabiedrība ar ierobežotu atbildību ""GAISMAS TILTS 97""";"Nē";"Jā";"4312802726";"Juridiska vai fiziska persona";"ĶEKAVAS NOVADS"
"Varakļānu vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Varakļānu novada pašvaldība";"Nē";"Jā";"4413900128";"Pašvaldība ";"VARAKĻĀNU NOVADS"
"Mārupes novada Skultes sākumskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā sākumskola";"Mārupes novada pašvaldība";"Nē";"Jā";"4311902782";"Pašvaldība ";"MĀRUPES NOVADS"
"Babītes vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Mārupes novada pašvaldība";"Nē";"Jā";"4313901118";"Pašvaldība ";"BABĪTES NOVADS"
"Siguldas Valsts ģimnāzija";"Vispārējās izglītības iestāde";"Valsts ģimnāzija";"Siguldas novada pašvaldība";"Nē";"Jā";"4319901124";"Pašvaldība ";"-Nav norādīts-"
"Baldones vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Ķekavas novada pašvaldība";"Nē";"Jā";"4313901125";"Pašvaldība ";"-Nav norādīts-"
"Stopiņu pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Ropažu novada pašvaldība";"Nē";"Jā";"4312901128";"Pašvaldība ";"-Nav norādīts-"
"Pļavniekkalna sākumskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā sākumskola";"Ķekavas novada pašvaldība";"Nē";"Jā";"4311901108";"Pašvaldība ";"-Nav norādīts-"
"Mārupes pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Mārupes novada pašvaldība";"Nē";"Jā";"4312901121";"Pašvaldība ";"-Nav norādīts-"
"Olaines 1. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Olaines novada pašvaldība";"Nē";"Jā";"4313901122";"Pašvaldība ";"-Nav norādīts-"
"Tukuma E. Birznieka-Upīša 1. pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Tukuma novada pašvaldība";"Nē";"Jā";"4112900232";"Pašvaldība ";"-Nav norādīts-"
"Jura Neikena Dikļu pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Valmieras novada pašvaldība";"Nē";"Jā";"4412900648";"Pašvaldība ";"-Nav norādīts-"
"Jelgavas novada Tālmācības vidusskola";"Vispārējās izglītības iestāde";"Neklātienes vidusskola";"Jelgavas novada pašvaldība";"Nē";"Jā";"4515900863";"Pašvaldība ";"-Nav norādīts-"
"Privātā vidusskola ""Patnis""";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"SIA ""patnis.edu""";"Nē";"Jā";"3513802582";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Codes pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Bauskas novada pašvaldība";"Nē";"Jā";"4512901308";"Pašvaldība ";"BAUSKAS NOVADS"
"Liepājas Raiņa vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Liepājas Centrālā administrācija";"Nē";"Jā";"3013900933";"Pašvaldība ";"-Nav norādīts-"
"Vangažu vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Ropažu novada pašvaldība";"Nē";"Jā";"4313901104";"Pašvaldība ";"-Nav norādīts-"
"Daugmales pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Ķekavas novada pašvaldība";"Nē";"Jā";"4312901117";"Pašvaldība ";"ĶEKAVAS NOVADS"
"Garlība Merķeļa Lēdurgas pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Siguldas novada pašvaldība";"Nē";"Jā";"4312900169";"Pašvaldība ";"-Nav norādīts-"
"Baložu vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Ķekavas novada pašvaldība";"Nē";"Jā";"4313902363";"Pašvaldība ";"ĶEKAVAS NOVADS"
"Olaines 2. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Olaines novada pašvaldība";"Nē";"Jā";"4313901129";"Pašvaldība ";"OLAINES NOVADS"
"Rīgas Anniņmuižas vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3513900767";"Pašvaldība ";"-Nav norādīts-"
"Z.A. Meierovica Kabiles pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Kuldīgas novada pašvaldība";"Nē";"Jā";"4112902771";"Pašvaldība ";"KULDĪGAS NOVADS"
"O.Kalpaka Rīgas Tautas daiļamatu pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3612900688";"Pašvaldība ";"RĪGA"
"Ērģemes pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Valkas novada pašvaldība";"Nē";"Jā";"4412901220";"Pašvaldība ";"VALKAS NOVADS"
"Ulbrokas vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Ropažu novada pašvaldība";"Nē";"Jā";"4313901107";"Pašvaldība ";"-Nav norādīts-"
"Rīgas Juglas vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3713900757";"Pašvaldība ";"-Nav norādīts-"
